num;theme;enonce;query;nb
1;;Ecrivez une requête SQL qui permette d'afficher tout le contenu de votre table. ;SELECT * FROM bd1.albums;44
2;;Donnez, pour chaque album, son isbn, son titre, son scénariste, son dessinateur ainsi que son année d'édition.;SELECT isbn, titre, scenariste, dessinateur, annee_edition FROM bd1.albums;44
3;;Quelles sont les albums édités par "Dupuis" ?;SELECT * FROM bd1.albums WHERE editeur = 'Dupuis';9
4;;Quels sont les titres des albums dont le scénariste est "Goscinny"?;SELECT DISTINCT titre FROM bd1.albums WHERE scenariste = ‘Goscinny’;10
5;;Quels sont les titres et les éditeurs des albums dont un des auteurs (scénariste, dessinateur ou coloriste) s'appelle "Uderzo"?;SELECT DISTINCT titre, editeur FROM bd1.albums WHERE scenariste = 'Uderzo' OR dessinateur = 'Uderzo' OR coloriste = 'Uderzo' ;8
6;;Quelles sont les albums pour lesquels le coloriste n'a pas été spécifié?;SELECT * FROM bd1.albums  WHERE coloriste IS NULL ;31
7;;Quels sont les éditeurs qui ont édité des albums en 1978 ?;SELECT DISTINCT editeur FROM bd1.albums WHERE annee_edition = 1978;1
8;;Quels sont les couples scénaristes-dessinateurs ayant travaillé ensemble pour l'éditeur "Dargaud"? (Attention: si le nom du dessinateur est le même que celui du scénariste, c'est que la même personne a effectué les deux tâches, et on ne parlera donc pas ;SELECT DISTINCT scenariste, dessinateur FROM bd1.albums  WHERE scenariste != dessinateur  AND editeur = 'Dargaud';3
9;;Quels sont les albums dont le scénariste et le dessinateur sont la même personne, mais qui ont été mis en couleur par quelqu'un d'autre?;SELECT * FROM bd1.albums WHERE scenariste = dessinateur AND coloriste != dessinateur;1
10;;Quels sont les albums dont le scénariste, le dessinateur et le coloriste sont la même personne?;SELECT * FROM bd1.albums WHERE scenariste = dessinateur AND coloriste = dessinateur ;9
11;;Quels sont les albums qui n'ont qu'un seul auteur? (Cela recouvre les cas de l'exercice précédent, mais il ne faut pas oublier les tuples pour lesquels un ou deux des trois attributs concernés ont la valeur NULL);SELECT * FROM bd1.albums WHERE (scenariste = dessinateur AND (coloriste = dessinateur OR coloriste IS NULL)) OR (coloriste = dessinateur AND scenariste IS NULL) OR (coloriste = scenariste AND dessinateur IS NULL) OR (dessinateur IS NOT NULL AND scenariste IS NULL AND coloriste IS NULL) OR (dessinateur IS NULL AND scenariste IS NOT NULL AND coloriste IS NULL)  OR (dessinateur IS NULL AND scenariste IS NULL AND coloriste IS NOT NULL);26
12;;Quels sont les scénaristes dont on a édité, après 1990, des œuvres qui coûtent moins de 8€?;SELECT DISTINCT scenariste FROM bd1.albums WHERE prix < 8 AND annee_edition > 1990;2
13;;Quels sont les titres édités en dehors de la décennie 1990-1999, par un éditeur autre que "Casterman", et dont le coloriste est ou bien non spécifié ou bien le même que le dessinateur?;SELECT DISTINCT titre FROM bd1.albums  WHERE (annee_edition < 1990 OR annee_edition > 1999) AND editeur != 'Casterman'  AND (coloriste IS NULL OR coloriste = dessinateur);29
14;;Quels sont les titres qui n'ont été édités ni par "Casterman", ni par "Dupuis", et qui ont, comme scénariste, dessinateur et coloriste, trois auteurs distincts?;SELECT DISTINCT titre FROM bd1.albums  WHERE (editeur != 'Casterman' AND editeur != 'Dupuis')  AND scenariste != dessinateur AND dessinateur != coloriste  AND coloriste != scenariste;1
